"id","#Organism/Name","Strain","Size (Mb)","TotalScore","SequenceScore","Phylogroup","Bioproject","Biosample","Pasteur_MLST","Achtman_MLST","Patric_Serovar","Patric_Pathovar","Patric_MLST","Patric_Other_Typing","Patric_Publication","Patric_Sequencing_Centers","Patric_Sequencing_Platform","Patric_Sequencing_Depth","Patric_Assembly_Method","Patric_Isolation_Source","Patric_Isolation_Comments","Patric_Isolation_Country","Patric_Collection_Date","Patric_Geographic_Location","Patric_Host_Name","Patric_Host_Health","Patric_Disease","Patric_Body_Sample_Site","Patric_Other_Clinical","PCR_Products","Quadruplex","Clermont_Specific","PCR_Phylogroup","Mash_dist_Phylogroup","Mash_screen_Phylogroup","Abram_Concat_Phylogroup","Boolean_Mash_screen_Mash_dist","Boolean_Abram_Phylogroup_PCR_Phylogroup","Boolean_Abram_Phylogroup_Mash_screen","Boolean_Abram_Phylogroup_Mash_dist","Boolean_PCR_Phylogroup_Mash_screen","Boolean_PCR_Phylogroup_Mash_dist"
"GCA_900087675.1","Escherichia coli","RL158","5.14794","0.94","0.85","B2-1","PRJEB13470","SAMEA3980469","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"JUSTUS LIEBIG UNIVERSITAT",,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002548675.1","Escherichia coli","MOD1-EC5839","5.23044","0.95","0.82","B2-1","PRJNA230969","SAMN05439379","-","429","O83:H23",,"MLST.Escherichia_coli_1.429,MLST.Escherichia_coli_2.634",,,"FDA/CFSAN","Illumina NextSeq 500","98.2x","SPAdes v. 3.8.2","intestine",,"United States","8/3/84","USA:MT","Chicken, Gallus gallus",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000352205.1","Escherichia coli KTE23","KTE23","4.8769300000000015","0.99","0.97","B2-1","PRJNA157603","SAMN00847660","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"Broad Institute","Illumina","142.0x","allpaths v. R42316","faecal",,,"2010",,"Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000951745.1","Escherichia coli","Chronic_salp","5.02846","0.92","0.79","B2-1","PRJNA274601","SAMN03333327","-","429",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000352125.1","Escherichia coli KTE17","KTE17","4.91547","0.99","0.95","B2-1","PRJNA157591","SAMN00847654","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"Broad Institute","Illumina","278.0x","allpaths v. R42316","faecal",,,"2010",,"Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002474455.1","Escherichia coli","MOD1-EC5077","4.87596","0.93","0.82","B2-1","PRJNA230969","SAMN04279414","-","1385",,,"MLST.Escherichia_coli_1.1385",,,"FDA/CFSAN","Illumina NextSeq 500","46.0x","SPAdes v. 3.8.2","colon",,"United States","11-Jan-05","USA: NY","Dog, Canis lupus familiaris",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002895325.1","Escherichia coli","Ec38","4.85295","0.98","0.94","B2-1","PRJNA325878","SAMN05283707","-","1170",,,"MLST.Escherichia_coli_1.1170",,,"DTU","Illumina MiSeq","30.0x","CLC genomics workbench v. 7.0","Hospital",,"Denmark","2012","Denmark","Human, Homo sapiens","UTI",,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001521435.1","Escherichia coli","GN04208","4.94046","0.88","0.7","B2-1","PRJNA290784","SAMN04388569","404","357",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001519875.1","Escherichia coli","GN02337","4.8312","0.95","0.92","B2-1","PRJNA290784","SAMN03922954","-","429",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000350805.1","Escherichia coli KTE25","KTE25","4.9981800000000005","0.99","0.95","B2-1","PRJNA157607","SAMN00847662","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"Broad Institute","Illumina","234.0x","allpaths v. R42316","faecal",,,"2010",,"Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000352145.1","Escherichia coli KTE18","KTE18","4.92586","0.99","0.96","B2-1","PRJNA157593","SAMN00847655","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"Broad Institute","Illumina","143.0x","allpaths v. R42316","faecal",,,"2009",,"Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000353085.1","Escherichia coli KTE217","KTE217","4.95092","0.96","0.95","B2-1","PRJNA163447","SAMN00974072","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"Broad Institute","Illumina","272.0x","allpaths v. R42721","Urinary tract","2010",,"2010",,"Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000326725.1","Escherichia coli KTE150","KTE150","4.89222","0.82","0.9","B2-1","PRJNA157703","SAMN00847710","404","357",,,"MLST.Escherichia_coli_1.357,MLST.Escherichia_coli_2.404",,,"Broad Institute","Illumina","195.0x","allpaths v. R42557","faecal","2010",,"2010",,"Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002230875.1","Escherichia coli","MOD1-EC5177","4.77105","0.86","0.85","B2-1","PRJNA230969","SAMN04279516","292","2556",,,"MLST.Escherichia_coli_1.2556,MLST.Escherichia_coli_2.292",,,"FDA/CFSAN","Illumina NextSeq 500","95.3x","SPAdes v. 3.8.2","Feces",,"United States","5-Jun-08","USA:CA","Rabbit, Oryctolagus cuniculus",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002512975.1","Escherichia coli","MOD1-EC6552","4.79523","0.93","0.71","B2-1","PRJNA230969","SAMN04993174","73","428",,,"MLST.Escherichia_coli_1.428,MLST.Escherichia_coli_2.73",,,"FDA/CFSAN","Illumina NextSeq 500","24.5x","SPAdes v. 3.8.2","ileum",,"United States","16-Jul-90","USA: CA","Pig, Sus scrofa",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002462925.1","Escherichia coli","MOD1-EC6474","4.8326199999999995","0.96","0.84","B2-1","PRJNA230969","SAMN04993094","73","428",,,"MLST.Escherichia_coli_1.428,MLST.Escherichia_coli_2.73",,,"FDA/CFSAN","Illumina NextSeq 500","28x","SPAdes v. 3.8.2","intestine",,"United States","3/14/89","USA: PA","Pig, Sus scrofa",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000432955.1","Escherichia coli CAG:4","-","4.68081","0.81","0.85","B2-1","PRJEB867","SAMEA3138535","221","538",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000782235.1","Escherichia coli","blood-09-0389","4.93504","0.97","0.9","B2-1","PRJNA248737","SAMN02801841","-","538",,,"MLST.Escherichia_coli_1.538,MLST.Escherichia_coli_2.221",,"25373147","University of Washington","Illumina HiSeq","106x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000782215.1","Escherichia coli","blood-09-0409","4.92939","0.97","0.87","B2-1","PRJNA248737","SAMN02801842","-","538",,,"MLST.Escherichia_coli_1.538,MLST.Escherichia_coli_2.221",,"25373147","University of Washington","Illumina HiSeq","45x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000352765.1","Escherichia coli KTE165","KTE165","4.75784","0.94","0.96","B2-1","PRJNA165013","SAMN00854687","712","1236",,,"MLST.Escherichia_coli_1.1236",,,"Broad Institute","Illumina","139.0x","allpaths v. R42557","faecal","2010","Denmark","2010","Denmark","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000465135.1","Escherichia coli HVH 190 (4-3255514)","HVH 190 (4-3255514)","4.84978","0.99","0.97","B2-1","PRJNA186216","SAMN01885829","-","1851",,,"MLST.Escherichia_coli_1.1851",,,"Broad Institute","Illumina","135.0x","allpaths v. R46382","Blood",,"Denmark","2003","Denmark","Human, Homo sapiens",,"Bacteremia",,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000460395.1","Escherichia coli UMEA 3155-1","UMEA 3155-1","4.914569999999999","0.98","0.94","B2-1","PRJNA186298","SAMN01885908",,,,,"MLST.Escherichia_coli_1.1851",,,"Broad Institute","Illumina","142.0x","allpaths v. R46436","urine","UTI induced bacteremia","Sweden","1997",,"Human, Homo sapiens",,"Urinary tract infection;bacterimia",,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000460155.1","Escherichia coli UMEA 3108-1","UMEA 3108-1","5.07871","0.98","0.91","B2-1","PRJNA186285","SAMN01885895","-","5317",,,"MLST.Escherichia_coli_1.5317",,,"Broad Institute","Illumina","141.0x","allpaths v. R46484","urine","UTI induced bacteremia","Sweden","1996",,"Human, Homo sapiens",,"Urinary tract infection;bacterimia",,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_003146175.1","Escherichia coli","Spr2012_WWKa_NEU_31","5.06643","0.84","0.68","B2-1","PRJNA380388","SAMN06641801","-","-",,,"MLST.Escherichia_coli_1.640,MLST.Escherichia_coli_2.813",,,"BIOTEC","Illumina MiSeq","10.0x","ABySS v. 1.5.2","wastewater inflow",,"Germany","11-Apr-12","Germany: Dresden-Kaditz",,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001621415.1","Escherichia coli","GN05243","5.42548","0.87","0.67","B2-1","PRJNA290784","SAMN04393273","-","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002416875.1","Escherichia coli","ST-131:E063","5.43815","0.91","0.62","B2-1","PRJNA355910","SAMN06106840","43","131",,,"MLST.Escherichia_coli_1.131","genotype:ST-131",,"University of Pretoria","IonTorrent","93x","SPAdes v. JUN-2016","urine","isolated from hospitals in Pretoria, South Africa and found to be resistant to extended-spectrum beta lactamases (penicillins and cephalosporins) were subjected to whole genome sequencing to characterize their resistance mechanisms and molecular epidemiology","South Africa","12-Nov-13","South Africa:Pretoria","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000776395.1","Escherichia coli","upec-97","5.31006","0.95","0.78","B2-1","PRJNA248737","SAMN02802193","43","131",,,"MLST.Escherichia_coli_1.131",,"25373147","University of Washington","Illumina HiSeq","33x","ABYSS v. 1.3.5","patient with urinary tract infection",,"United States","2011","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000458665.1","Escherichia coli HVH 176 (4-3428664)","HVH 176 (4-3428664)","5.32695","0.98","0.93","B2-1","PRJNA186204","SAMN01885817","43","131",,,"MLST.Escherichia_coli_1.131",,,"Broad Institute","Illumina","144.0x","allpaths v. R46382","Blood",,"Denmark","2003","Denmark","Human, Homo sapiens",,"Bacteremia",,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001058375.1","Escherichia coli","762_ECOL","5.1543800000000015","0.82","0.66","B2-1","PRJNA267549","SAMN03197971","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000529615.1","Escherichia coli IS35","IS35","5.42939","0.94","0.74","B2-1","PRJEB4810","SAMEA3138860","-","131",,,"MLST.Escherichia_coli_1.131",,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001519995.1","Escherichia coli","GN02535","5.29363","0.84","0.58","B2-1","PRJNA290784","SAMN03922993","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001637905.1","Escherichia coli","MB17684","5.18403","0.89","0.77","B2-1","PRJNA295914","SAMN04273120","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001055685.1","Escherichia coli","184_ECOL","5.31761","0.88","0.71","B2-1","PRJNA267549","SAMN03197375","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001621755.1","Escherichia coli","GN05833","5.28276","0.86","0.63","B2-1","PRJNA290784","SAMN04393290","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001617565.1","Escherichia coli","Ecol_732","5.41829","1","0.99","B2-1","PRJNA316786","SAMN04621897","43","131",,,,,,"University of Oxford","PacBio","1x","HGAP v. 2.2.0",,,"Thailand","2012","Thailand: Bangkok","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001621835.1","Escherichia coli","GN05885","5.20885","0.88","0.71","B2-1","PRJNA290784","SAMN04393294","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000692495.1","Escherichia coli BIDMC 70","BIDMC 70","5.1512","0.99","0.97","B2-1","PRJNA234158","SAMN02581291",,,,,"MLST.Escherichia_coli_1.131",,"-","Broad Institute","Illumina","142.0x","allpaths v. R48559","URINE",,"United States","2013","Boston, MA, USA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002012265.1","Escherichia coli","Ecol_AZ161","5.17304","1","0.99","B2-1","PRJNA316786","SAMN05511166","43","131",,,,,,"University of Oxford","PacBio","XX","HGAP v. unspecified",,,"United States","2013","USA: Lafayette","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000782295.1","Escherichia coli","blood-09-0074","5.27661","0.95","0.79","B2-1","PRJNA248737","SAMN02801838","43","131",,,"MLST.Escherichia_coli_1.131",,"25373147","University of Washington","Illumina HiSeq","37x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000782175.1","Escherichia coli","blood-09-0450","5.28106","0.95","0.79","B2-1","PRJNA248737","SAMN02801844","43","131",,,"MLST.Escherichia_coli_1.131,MLST.Escherichia_coli_2.43",,"25373147","University of Washington","Illumina HiSeq","52x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000780255.1","Escherichia coli","blood-90145","5.4911","0.95","0.81","B2-1","PRJNA248737","SAMN02801902","43","131",,,"MLST.Escherichia_coli_1.131",,"25373147","University of Washington","Illumina HiSeq","73x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: Pacific Northwest","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000782135.1","Escherichia coli","blood-09-0558","5.48845","0.95","0.81","B2-1","PRJNA248737","SAMN02801846","43","131",,,"MLST.Escherichia_coli_1.131",,"25373147","University of Washington","Illumina HiSeq","69x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: Pacific Northwest","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000782255.1","Escherichia coli","blood-09-0341","5.29253","0.95","0.8","B2-1","PRJNA248737","SAMN02801840","43","131",,,"MLST.Escherichia_coli_1.131",,"25373147","University of Washington","Illumina HiSeq","52x","ABYSS v. 1.3.5","blood from patient with bacteremia",,"United States","2009","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000778175.1","Escherichia coli","upec-248","4.94688","0.94","0.75","B2-1","PRJNA248737","SAMN02802073","43","-",,,,,"25373147","University of Washington","Illumina HiSeq","28x","ABYSS v. 1.3.5","patient with urinary tract infection",,"United States","2011","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, TspE4.C2, trpAgpC","-, +, -, +","trpAgpC","B1","B2","B2","B2","True","False","True","True","False","False"
"GCA_002536105.1","Escherichia coli","MOD1-EC6135","5.11001","0.92","0.79","B2-1","PRJNA230969","SAMN05440246","43","131","O25:H4",,"MLST.Escherichia_coli_1.131",,,"FDA/CFSAN","Illumina NextSeq 500","54.4x","SPAdes v. 3.8.2","lung",,"United States","6/11/12","USA:CA","Cetacea",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001562345.1","Escherichia coli","109497","5.22156","0.91","0.84","B2-1","PRJNA261239","SAMN03076175","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001638225.1","Escherichia coli","WCE233","5.13851","0.93","0.8","B2-1","PRJNA295914","SAMN04273131","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001621305.1","Escherichia coli","GN05044","5.2431","0.92","0.77","B2-1","PRJNA290784","SAMN04393266","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002528895.1","Escherichia coli","ST-131:E058","5.14366","0.96","0.83","B2-1","PRJNA355910","SAMN06106907","43","131",,,"MLST.Escherichia_coli_1.131","genotype:ST-131",,"University of Pretoria","IonTorrent","98x","SPAdes v. November-2016","hospitals","isolated from hospitals in Pretoria, South Africa and found to be resistant to extended-spectrum beta lactamases (penicillins and cephalosporins) were subjected to whole genome sequencing to characterize their resistance mechanisms and molecular epidemiology","South Africa","30-Oct-13","South Africa:Pretoria","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002416765.1","Escherichia coli","ST-131:E062","5.14214","0.94","0.75","B2-1","PRJNA355910","SAMN06106851","43","131",,,"MLST.Escherichia_coli_1.131","genotype:ST-131",,"University of Pretoria","IonTorrent","97x","SPAdes v. October-2016","blood","isolated from hospitals in Pretoria, South Africa and found to be resistant to extended-spectrum beta lactamases (penicillins and cephalosporins) were subjected to whole genome sequencing to characterize their resistance mechanisms and molecular epidemiology","South Africa","1-Nov-13","South Africa:Pretoria","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_000780175.1","Escherichia coli","upec-159","5.18569","0.85","0.69","B2-1","PRJNA248737","SAMN02801974","-","131",,,"MLST.Escherichia_coli_1.131",,"25373147","University of Washington","Illumina HiSeq","31x","ABYSS v. 1.3.5","patient with urinary tract infection",,"United States","2011","USA: WA","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002886545.1","Escherichia coli","YD736","5.2043800000000005","0.87","0.79","B2-1","PRJNA416908","SAMN07974470","43","131",,,"MLST.Escherichia_coli_1.131",,,"University of Maryland, School of Medicine","Illumina HiSeq","450x","SPAdes v. 3.7.1",,,"United States",,"USA: Pennsylvania","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001621965.1","Escherichia coli","GN06039","5.22114","0.88","0.72","B2-1","PRJNA290784","SAMN04393300","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002535405.1","Escherichia coli","MOD1-EC6130","5.16146","0.94","0.74","B2-1","PRJNA230969","SAMN05439565","43","131","O25:H4",,"MLST.Escherichia_coli_1.131",,,"FDA/CFSAN","Illumina NextSeq 500","46.7x","SPAdes v. 3.8.2","feces",,"United States","5/18/12","USA:MD","Cetacea",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002540555.1","Escherichia coli","MOD1-EC6093","5.16031","0.94","0.74","B2-1","PRJNA230969","SAMN05439516","43","131","O25:H4",,"MLST.Escherichia_coli_1.131,MLST.Escherichia_coli_2.43",,,"FDA/CFSAN","Illumina NextSeq 500","20.7x","SPAdes v. 3.8.2","feces",,"United States","7/1/11","USA:MD","Cetacea",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002886915.1","Escherichia coli","YDC134","5.23722","0.86","0.73","B2-1","PRJNA416908","SAMN07974448","43","131",,,"MLST.Escherichia_coli_1.131",,,"University of Maryland, School of Medicine","Illumina HiSeq","478x","SPAdes v. 3.7.1",,,"United States",,"USA: Pennsylvania","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001555635.1","Escherichia coli","972","5.22896","0.92","0.76","B2-1","PRJNA295914","SAMN04273060","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001630915.1","Escherichia coli","RCE06","5.3052800000000016","0.89","0.67","B2-1","PRJNA262859","SAMN03254660","43","-",,,"MLST.Escherichia_coli_2.43",,,"RIPCM","IonTorrent","200.0x","Newbler v. 2.6","Intestine of patients with Crohn's disease",,"Russia","2013","Russia: Moscow","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001561255.1","Escherichia coli","B5","5.4311","0.87","0.68","B2-1","PRJNA295914","SAMN04273094","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_001562385.1","Escherichia coli","105438","5.22694","0.89","0.86","B2-1","PRJNA261239","SAMN03076178","43","131",,,,,,,,,,,,,,,,,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
"GCA_002887015.1","Escherichia coli","YDC593","5.26856","0.87","0.78","B2-1","PRJNA416908","SAMN07974473","43","131",,,"MLST.Escherichia_coli_1.131",,,"University of Maryland, School of Medicine","Illumina HiSeq","564x","SPAdes v. 3.7.1",,,"United States",,"USA: Pennsylvania","Human, Homo sapiens",,,,,"trpA, trpBA, chuA, yjaA, TspE4.C2, trpAgpC","-, +, +, +","trpAgpC","B2","B2","B2","B2","True","True","True","True","True","True"
